"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X23_24","m0","m10","m5","m20","m25","m30","m35","m45","m55","m60","m65","m70","f20","f25","f30","f45","f50","f60","f65","f70","bus_passenger","sub_passenger"
0,-8.5,0,1.9,41,0,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.8565,215.9333,483.0675,2548.6367,3015.3596,1631.9538,1223.1281,957.1493,746.4938,512.8421,410.6788,745.5813,4073.9727,2851.2763,1539.043,748.0299,662.6362,585.9838,495.7997,1177.5972,43,0
1,-9.2,0,1.8,42,0,84.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.9148,221.4989,493.5686,2523.8443,3001.7447,1657.9051,1220.2493,934.9358,748.2917,503.9736,401.14,745.9078,4097.0041,2896.7789,1540.6339,743.3119,666.9795,590.0877,490.9543,1160.2243,14,0
0,-9.5,0,1.2,43,0,90.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.2436,217.497,488.5988,2543.2527,3015.5108,1648.6811,1233.4484,911.7137,733.0098,481.7825,402.9143,742.8854,4099.0282,2917.9572,1561.0891,726.5149,670.5085,611.642,489.9515,1162.6758,16,0
0,-9.3,0,1.4,46,0,86.49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.5664,217.6455,527.1239,2551.1909,3020.2775,1662.8373,1231.1187,923.3402,746.442,471.9041,389.9331,746.3123,4135.1798,2924.6753,1567.5471,727.0386,660.0832,608.5868,504.7769,1151.3341,8,0
0,-9.6,0,1.7,48,0,92.16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.722,207.5637,701.5208,2579.9035,2981.9287,1641.807,1245.9018,895.5703,727.749,486.4672,387.0125,743.2318,4168.5383,2907.3525,1561.8924,724.2587,666.0589,605.5775,476.5806,1187.5351,23,6
0,-9.7,0,0.8,51,0,94.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4655,205.1374,766.3817,2590.3693,2934.6281,1614.0798,1217.2336,899.2056,721.1438,478.7768,385.9548,777.7017,4159.7885,2941.5118,1573.812,741.7626,654.4174,626.3112,491.5761,1180.0011,32,248
0,-9.8,0,1.9,53,0,96.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.0949,185.1206,774.0935,2533.7021,2900.0365,1605.2295,1220.2818,896.2788,750.8232,470.706,380.4025,743.4175,4084.4067,2888.3386,1528.515,741.4333,663.6508,642.904,492.761,1197.9448,81,325
0,-10.1,0,1.9,55,0,102.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.7965,184.5211,766.0265,2470.8683,2846.1085,1582.745,1208.269,883.5217,725.4468,468.7146,383.6743,765.5781,4028.3356,2868.5616,1497.5235,729.0047,689.8176,631.9929,510.5522,1235.5588,65,448
0,-10.2,0,2.5,56,0,104.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.5937,177.9659,722.3224,2488.335,2837.052,1665.3388,1211.9752,919.4049,747.8673,484.6792,399.9915,796.0439,3973.4656,2775.5924,1479.1669,788.2362,685.827,676.5348,490.1022,1305.4915,135,699
0,-9.1,0,2.1,56,0,82.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,416.7076,192.3262,620.5868,2473.7156,2783.3061,1669.6841,1256.7438,951.7383,784.0184,484.6419,425.649,792.5406,3899.94,2691.0828,1514.6997,808.2654,710.1531,652.9334,505.5763,1249.5269,159,956
0,-6.8,0,2.3,42,1,46.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,475.4972,219.4598,587.8323,2538.3244,2850.1474,1659.5073,1280.9699,874.7221,775.9598,523.1398,416.1323,761.8202,3872.7968,2745.5063,1507.7122,822.3881,730.6889,663.1034,509.4526,1314.768,128,831
0,-4.3,0,0.9,37,1,18.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,490.0385,226.1711,586.4021,2465.0082,2924.4905,1686.0821,1385.1672,917.8842,768.1554,518.8519,420.2144,740.2119,3905.4698,2767.0991,1518.8841,833.0353,745.7217,695.089,545.356,1320.4043,207,1018
6,-2.3,0,1.2,34,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,587.3517,271.0849,723.2443,2586.8189,2965.6393,1859.6825,1505.189,977.1987,776.7449,525.7804,426.3821,722.2581,4058.0544,2952.5516,1631.3175,872.7537,748.1338,656.1947,487.6,1276.0991,230,1212
